Error,Fingerprint Selection,NN Type,,,,,
2.787292246,All,SNN,,,9.924803204,Active,SNN
3.257769248,All,SNN,,,,,
2.719588684,All,SNN,,,,,
2.742100656,All,SNN,,,,,
2.869273711,All,SNN,,,,,
2.82657369,All,SNN,,,,,
2.717557181,All,SNN,,,,,
2.705633643,All,SNN,,,,,
3.166050152,All,SNN,,,,,
2.799265701,All,SNN,,,,,
2.789618871,All,SNN,,,,,
3.031683264,All,SNN,,,,,
2.825908662,All,SNN,,,,,
2.895077857,All,SNN,,,,,
2.879610426,All,SNN,,,,,
3.102546195,All,SNN,,,,,
2.998147477,All,SNN,,,,,
2.84633895,All,SNN,,,,,
2.841350053,All,SNN,,,,,
2.776265705,All,SNN,,,,,
2.938593096,All,SNN,,,,,
2.848208265,All,SNN,,,,,
2.826255814,All,SNN,,,,,
2.821821179,All,SNN,,,,,
2.830100756,All,SNN,,,,,
2.800355391,All,SNN,,,,,
3.176341006,All,SNN,,,,,
2.833107517,All,SNN,,,,,
3.059084439,All,SNN,,,,,
2.824583266,All,SNN,,,,,
3.187339091,Random,SNN,,,,,
3.102568756,Random,SNN,,,,,
3.830273289,Random,SNN,,,,,
3.128301306,Random,SNN,,,,,
3.092986422,Random,SNN,,,,,
3.265178785,Random,SNN,,,,,
3.18234869,Random,SNN,,,,,
3.023425735,Random,SNN,,,,,
3.846719689,Random,SNN,,,,,
4.310821217,Random,SNN,,,,,
3.352403602,Random,SNN,,,,,
3.186924653,Random,SNN,,,,,
3.122494754,Random,SNN,,,,,
3.233246683,Random,SNN,,,,,
3.659783798,Random,SNN,,,,,
3.020978554,Random,SNN,,,,,
3.136306373,Random,SNN,,,,,
3.337540402,Random,SNN,,,,,
3.225931331,Random,SNN,,,,,
3.305162327,Random,SNN,,,,,
3.374062453,Random,SNN,,,,,
2.748021096,Random,SNN,,,,,
3.078556507,Random,SNN,,,,,
3.572397381,Random,SNN,,,,,
3.200988779,Random,SNN,,,,,
3.694085453,Random,SNN,,,,,
3.084698556,Random,SNN,,,,,
3.259803695,Random,SNN,,,,,
3.328770583,Random,SNN,,,,,
3.115330466,Random,SNN,,,,,
3.031650131,All,DNN,,,,,
3.094896728,All,DNN,,,,,
3.161145683,All,DNN,,,,,
2.887103024,All,DNN,,,,,
2.985894231,All,DNN,,,,,
3.185028439,All,DNN,,,,,
4.044356202,All,DNN,,,,,
3.046088165,All,DNN,,,,,
3.315160077,All,DNN,,,,,
2.929502517,All,DNN,,,,,
2.816924998,All,DNN,,,,,
3.013131179,All,DNN,,,,,
3.265327457,All,DNN,,,,,
3.075691849,All,DNN,,,,,
3.116552977,All,DNN,,,,,
2.878024158,All,DNN,,,,,
3.121839129,All,DNN,,,,,
2.912698361,All,DNN,,,,,
3.089769312,All,DNN,,,,,
2.868905856,All,DNN,,,,,
2.907616412,All,DNN,,,,,
2.86706501,All,DNN,,,,,
3.232988339,All,DNN,,,,,
3.931396458,All,DNN,,,,,
2.924770132,All,DNN,,,,,
2.914453994,All,DNN,,,,,
2.863883019,All,DNN,,,,,
3.0201901,All,DNN,,,,,
2.650553333,All,DNN,,,,,
3.606416858,All,DNN,,,,,
2.958301991,Random,DNN,,,,,
3.669105562,Random,DNN,,,,,
3.21167732,Random,DNN,,,,,
3.266430072,Random,DNN,,,,,
3.368674098,Random,DNN,,,,,
3.115556659,Random,DNN,,,,,
3.180746543,Random,DNN,,,,,
2.94276525,Random,DNN,,,,,
3.356615779,Random,DNN,,,,,
2.822349905,Random,DNN,,,,,
3.196581078,Random,DNN,,,,,
3.003074399,Random,DNN,,,,,
2.910154105,Random,DNN,,,,,
3.164852256,Random,DNN,,,,,
3.231688335,Random,DNN,,,,,
3.19566094,Random,DNN,,,,,
3.116078458,Random,DNN,,,,,
3.375996899,Random,DNN,,,,,
3.272424658,Random,DNN,,,,,
3.470906331,Random,DNN,,,,,
3.28430735,Random,DNN,,,,,
3.567559352,Random,DNN,,,,,
3.425188316,Random,DNN,,,,,
3.238932555,Random,DNN,,,,,
3.074636201,Random,DNN,,,,,
3.236733432,Random,DNN,,,,,
3.163289957,Random,DNN,,,,,
3.049219386,Random,DNN,,,,,
3.675654131,Random,DNN,,,,,
3.300619158,Random,DNN,,,,,
3.140269106,Active,DNN,,,,,
3.180194913,Active,DNN,,,,,
3.355493932,Active,DNN,,,,,
3.207203126,Active,DNN,,,,,
3.307051747,Active,DNN,,,,,
3.247450804,Active,DNN,,,,,
3.137198835,Active,DNN,,,,,
4.553099493,Active,DNN,,,,,
2.891292393,Active,DNN,,,,,
2.919326005,Active,DNN,,,,,
3.040410489,Active,DNN,,,,,
4.325602602,Active,DNN,,,,,
3.528781454,Active,DNN,,,,,
3.072780434,Active,DNN,,,,,
3.026258616,Active,DNN,,,,,
3.358196903,Active,DNN,,,,,
5.36060654,Active,DNN,,,,,
2.889312759,Active,DNN,,,,,
3.028514747,Active,DNN,,,,,
3.102425857,Active,DNN,,,,,
4.786780914,Active,DNN,,,,,
3.192249833,Active,DNN,,,,,
3.220598347,Active,DNN,,,,,
3.026988591,Active,DNN,,,,,
3.059501219,Active,DNN,,,,,
3.059080954,Active,DNN,,,,,
3.013782687,Active,DNN,,,,,
2.9738083,Active,DNN,,,,,
3.581621175,Active,DNN,,,,,
3.301548587,Active,DNN,,,,,
3.23020727,Active,DNN,,,,,
3.209932479,Active,DNN,,,,,
3.217932149,Active,DNN,,,,,
3.203680948,Active,DNN,,,,,
3.170692737,Active,DNN,,,,,
3.157022595,Active,DNN,,,,,
3.30935483,Active,DNN,,,,,
3.21358993,Active,DNN,,,,,
3.222770282,Active,DNN,,,,,
5.23827167,Active,DNN,,,,,
4.49632704,Active,DNN,,,,,
3.264509197,Active,DNN,,,,,
2.94964786,Active,DNN,,,,,
3.335382046,Active,DNN,,,,,
3.229837752,Active,DNN,,,,,
5.200026734,Active,DNN,,,,,
3.051777184,Active,DNN,,,,,
3.301422769,Active,DNN,,,,,
2.964030301,Active,DNN,,,,,
3.011888966,Active,DNN,,,,,
3.07113177,Active,DNN,,,,,
2.960499964,Active,DNN,,,,,
2.856102693,Active,DNN,,,,,
3.065151079,Active,DNN,,,,,
2.947646379,Active,DNN,,,,,
3.03313682,Active,DNN,,,,,
2.909803852,Active,DNN,,,,,
2.887596021,Active,DNN,,,,,
2.99026141,Active,DNN,,,,,
2.921131163,Active,DNN,,,,,
2.981316145,Active,DNN,,,,,
2.961425758,Active,DNN,,,,,
2.980847055,Active,DNN,,,,,
3.132345369,Active,DNN,,,,,
2.853449531,Active,DNN,,,,,
3.183534102,Active,DNN,,,,,
2.990054912,Active,DNN,,,,,
3.477485382,Active,DNN,,,,,
3.09876439,Active,DNN,,,,,
3.454553847,Active,DNN,,,,,
4.316451101,Active,DNN,,,,,
3.067953181,Active,DNN,,,,,
3.043648284,Active,DNN,,,,,
2.962928828,Active,DNN,,,,,
4.245407471,Active,DNN,,,,,
3.145880532,Active,DNN,,,,,
3.103792145,Active,DNN,,,,,
3.115333746,Active,DNN,,,,,
3.387555592,Active,DNN,,,,,
3.307107978,Active,DNN,,,,,
3.844448551,Active,DNN,,,,,
3.249714855,Active,DNN,,,,,
3.423881798,Active,DNN,,,,,
3.141622878,Active,DNN,,,,,
3.171497893,Active,DNN,,,,,
3.30398953,Active,DNN,,,,,
3.089963841,Active,DNN,,,,,
4.597055798,Active,DNN,,,,,
3.201801817,Active,DNN,,,,,
3.467759908,Active,DNN,,,,,
2.940854779,Active,DNN,,,,,
3.10455285,Active,DNN,,,,,
3.287212342,Active,DNN,,,,,
3.010419479,Active,DNN,,,,,
3.104244221,Active,DNN,,,,,
3.178515276,Active,DNN,,,,,
3.3686481,Active,DNN,,,,,
2.936111027,Active,DNN,,,,,
2.899195392,Active,SNN,,,,,
3.020908186,Active,SNN,,,,,
2.944985749,Active,SNN,,,,,
2.915526556,Active,SNN,,,,,
2.87123636,Active,SNN,,,,,
2.944740544,Active,SNN,,,,,
2.854145671,Active,SNN,,,,,
3.355204308,Active,SNN,,,,,
3.024188281,Active,SNN,,,,,
3.002276199,Active,SNN,,,,,
2.830203867,Active,SNN,,,,,
2.964093028,Active,SNN,,,,,
3.103401038,Active,SNN,,,,,
3.503758696,Active,SNN,,,,,
2.8797149,Active,SNN,,,,,
3.106817798,Active,SNN,,,,,
2.954895085,Active,SNN,,,,,
3.081175983,Active,SNN,,,,,
3.302499902,Active,SNN,,,,,
3.070651578,Active,SNN,,,,,
3.09101707,Active,SNN,,,,,
3.167632629,Active,SNN,,,,,
2.932805693,Active,SNN,,,,,
2.965294605,Active,SNN,,,,,
2.931494153,Active,SNN,,,,,
3.229404064,Active,SNN,,,,,
3.104016609,Active,SNN,,,,,
3.19363424,Active,SNN,,,,,
3.056333027,Active,SNN,,,,,
3.144539684,Active,SNN,,,,,
3.230780924,Active,SNN,,,,,
3.182913935,Active,SNN,,,,,
3.119467698,Active,SNN,,,,,
3.22358381,Active,SNN,,,,,
3.40894319,Active,SNN,,,,,
3.393694112,Active,SNN,,,,,
3.181544317,Active,SNN,,,,,
3.184230293,Active,SNN,,,,,
3.158498193,Active,SNN,,,,,
3.167540528,Active,SNN,,,,,
3.006335695,Active,SNN,,,,,
2.935856592,Active,SNN,,,,,
4.036412029,Active,SNN,,,,,
3.063436332,Active,SNN,,,,,
3.008552651,Active,SNN,,,,,
2.825739118,Active,SNN,,,,,
2.922428099,Active,SNN,,,,,
3.011338107,Active,SNN,,,,,
2.87964784,Active,SNN,,,,,
2.905861422,Active,SNN,,,,,
5.373230899,Active,SNN,,,,,
3.148997107,Active,SNN,,,,,
2.977118419,Active,SNN,,,,,
3.870671662,Active,SNN,,,,,
3.027509511,Active,SNN,,,,,
4.714952537,Active,SNN,,,,,
3.188690212,Active,SNN,,,,,
3.058560476,Active,SNN,,,,,
3.073843845,Active,SNN,,,,,
3.123440808,Active,SNN,,,,,
2.979739995,Active,SNN,,,,,
2.962927639,Active,SNN,,,,,
2.99047771,Active,SNN,,,,,
3.05420579,Active,SNN,,,,,
2.960298749,Active,SNN,,,,,
3.155059937,Active,SNN,,,,,
2.948852303,Active,SNN,,,,,
3.00307526,Active,SNN,,,,,
3.333020173,Active,SNN,,,,,
2.825974543,Active,SNN,,,,,
4.839380297,Active,SNN,,,,,
2.867411243,Active,SNN,,,,,
2.903279048,Active,SNN,,,,,
2.879230862,Active,SNN,,,,,
3.062005359,Active,SNN,,,,,
2.842953735,Active,SNN,,,,,
2.836046392,Active,SNN,,,,,
2.94800991,Active,SNN,,,,,
2.93682409,Active,SNN,,,,,
3.084333219,Active,SNN,,,,,
3.138752376,Active,SNN,,,,,
2.999236701,Active,SNN,,,,,
3.186200392,Active,SNN,,,,,
3.124933331,Active,SNN,,,,,
3.227524198,Active,SNN,,,,,
3.057276619,Active,SNN,,,,,
3.060126955,Active,SNN,,,,,
3.06792008,Active,SNN,,,,,
2.960239986,Active,SNN,,,,,
3.316713664,Active,SNN,,,,,
3.473800315,Active,SNN,,,,,
3.689559687,Active,SNN,,,,,
2.99139072,Active,SNN,,,,,
3.156161789,Active,SNN,,,,,
3.03367841,Active,SNN,,,,,
